mod_request_id,item_id,seller_id,title,description,category_id,attributes,ts,model_version
16,1192,42,Optima детские товары премиальный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""Optima"",""color"":""зеленый"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":6}",2025-12-27T18:26:42+00:00,moderation_v6
17,417,178,Volna товары для дома практичный,"Товары для дома: аккуратное исполнение, стабильная работа и удобное использование каждый день.",15,"{""brand"":""Volna"",""color"":""серый"",""material"":""комбинированный"",""size"":""XL"",""warranty_months"":12}",2026-01-16T06:39:10+00:00,moderation_v1
18,126,143,Brisk инструменты практичный,"Инструменты: аккуратное исполнение, стабильная работа и удобное использование каждый день.",24,"{""brand"":""Brisk"",""color"":""красный"",""material"":""керамика"",""size"":""XL"",""warranty_months"":18}",2026-01-22T11:42:07+00:00,moderation_v1
19,1196,172,Foxly наушники премиальный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Foxly"",""color"":""черный"",""material"":""пластик"",""size"":""XS"",""warranty_months"":18}",2025-12-14T19:19:32+00:00,moderation_v1
20,803,207,SilverBox товары для дома лёгкий,"Товары для дома: аккуратное исполнение, стабильная работа и удобное использование каждый день.",15,"{""brand"":""SilverBox"",""color"":""черный"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":12}",2026-01-26T08:10:12+00:00,moderation_v1
21,770,30,TrueSound рюкзаки премиальный,"Рюкзаки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",14,"{""brand"":""TrueSound"",""color"":""бежевый"",""material"":""текстиль"",""size"":""M"",""warranty_months"":24}",2026-02-14T01:26:36+00:00,moderation_v1
22,260,60,Orion обувь компактный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""Orion"",""color"":""зеленый"",""material"":""керамика"",""size"":""S"",""warranty_months"":6}",2025-12-20T15:19:50+00:00,moderation_v1
23,325,190,Brisk косметика премиальный,"Косметика: аккуратное исполнение, стабильная работа и удобное использование каждый день.",17,"{""brand"":""Brisk"",""color"":""серый"",""material"":""текстиль"",""size"":""L"",""warranty_months"":24}",2026-01-29T16:03:26+00:00,moderation_v1
24,335,115,Terra кухонная техника надежный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""Terra"",""color"":""серый"",""material"":""керамика"",""size"":""XL"",""warranty_months"":6}",2026-01-15T05:07:34+00:00,moderation_v1
25,424,115,UrbanFit пылесосы лёгкий,"Пылесосы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",10,"{""brand"":""UrbanFit"",""color"":""черный"",""material"":""металл"",""size"":""универсальный"",""warranty_months"":24}",2026-02-08T01:29:37+00:00,moderation_v1
26,273,221,Futura кухонная техника эргономичный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""Futura"",""color"":""синий"",""material"":""текстиль"",""size"":""L"",""warranty_months"":18}",2026-03-01T10:43:24+00:00,moderation_v1
27,170,91,PrimeTech инструменты компактный,"Инструменты: аккуратное исполнение, стабильная работа и удобное использование каждый день.",24,"{""brand"":""PrimeTech"",""color"":""серый"",""material"":""комбинированный"",""size"":""XL"",""warranty_months"":18}",2026-01-16T08:31:20+00:00,moderation_v1
28,530,149,AquaLeaf планшеты универсальный,"Планшеты: аккуратное исполнение, стабильная работа и удобное использование каждый день.",4,"{""brand"":""AquaLeaf"",""color"":""красный"",""material"":""пластик"",""size"":""S"",""warranty_months"":18}",2025-12-12T14:34:15+00:00,moderation_v1
29,461,179,PrimeTech рюкзаки современный,"Рюкзаки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",14,"{""brand"":""PrimeTech"",""color"":""зеленый"",""material"":""металл"",""size"":""XL"",""warranty_months"":24}",2026-02-03T05:23:23+00:00,moderation_v3
30,961,144,MobiPro кухонная техника надежный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""MobiPro"",""color"":""зеленый"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":6}",2025-12-13T02:59:53+00:00,moderation_v1
31,433,27,PrimeTech детские товары премиальный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""PrimeTech"",""color"":""черный"",""material"":""текстиль"",""size"":""XS"",""warranty_months"":24}",2025-12-17T00:37:17+00:00,moderation_v1
32,1084,135,PrimeTech одежда эргономичный,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""PrimeTech"",""color"":""красный"",""material"":""керамика"",""size"":""M"",""warranty_months"":18}",2026-02-03T09:18:29+00:00,moderation_v1
33,385,165,Rivex наушники компактный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Rivex"",""color"":""серый"",""material"":""металл"",""size"":""XS"",""warranty_months"":24}",2026-02-09T00:37:25+00:00,moderation_v2
34,328,209,Aster кофеварки практичный,"Кофеварки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",11,"{""brand"":""Aster"",""color"":""серый"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":12}",2025-12-12T13:08:06+00:00,moderation_v1
35,153,63,Volna книги практичный,"Книги: аккуратное исполнение, стабильная работа и удобное использование каждый день.",19,"{""brand"":""Volna"",""color"":""синий"",""material"":""пластик"",""size"":""S"",""warranty_months"":18}",2025-12-29T06:55:47+00:00,moderation_v1
36,291,21,Smarton игровые мыши практичный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""Smarton"",""color"":""красный"",""material"":""пластик"",""size"":""S"",""warranty_months"":12}",2026-01-06T16:20:39+00:00,moderation_v1
37,133,68,Optima наушники премиальный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Optima"",""color"":""зеленый"",""material"":""пластик"",""size"":""универсальный"",""warranty_months"":6}",2026-02-23T02:37:59+00:00,moderation_v1
38,488,151,Terra кофеварки премиальный,"Кофеварки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",11,"{""brand"":""Terra"",""color"":""черный"",""material"":""текстиль"",""size"":""M"",""warranty_months"":24}",2026-02-12T16:32:13+00:00,moderation_v1
39,1155,258,Crafto одежда премиальный,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""Crafto"",""color"":""зеленый"",""material"":""керамика"",""size"":""XL"",""warranty_months"":12}",2026-01-29T16:50:53+00:00,moderation_v1
40,746,136,TrueSound смартфоны надежный,"Смартфоны: аккуратное исполнение, стабильная работа и удобное использование каждый день.",1,"{""brand"":""TrueSound"",""color"":""зеленый"",""material"":""металл"",""size"":""M"",""warranty_months"":18}",2025-12-30T12:31:39+00:00,moderation_v2
41,372,138,Foxly садовая техника практичный,"Садовая техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",23,"{""brand"":""Foxly"",""color"":""черный"",""material"":""пластик"",""size"":""универсальный"",""warranty_months"":24}",2025-12-24T20:23:07+00:00,moderation_v3
42,191,32,HomeArt кофеварки современный,"Кофеварки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",11,"{""brand"":""HomeArt"",""color"":""синий"",""material"":""текстиль"",""size"":""M"",""warranty_months"":18}",2025-12-18T06:21:38+00:00,moderation_v1
43,505,111,NordLine обувь премиальный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""NordLine"",""color"":""серый"",""material"":""текстиль"",""size"":""M"",""warranty_months"":24}",2026-02-20T07:01:45+00:00,moderation_v1
44,335,115,AquaLeaf кухонная техника премиальный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""AquaLeaf"",""color"":""бежевый"",""material"":""керамика"",""size"":""M"",""warranty_months"":6}",2025-12-27T05:38:28+00:00,moderation_v2
45,52,181,Aster одежда лёгкий,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""Aster"",""color"":""белый"",""material"":""пластик"",""size"":""XS"",""warranty_months"":18}",2025-12-08T01:36:50+00:00,moderation_v1
46,499,203,Optima кухонная техника премиальный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""Optima"",""color"":""белый"",""material"":""комбинированный"",""size"":""M"",""warranty_months"":18}",2026-02-22T17:31:11+00:00,moderation_v4
47,1028,170,SilverBox наушники компактный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""SilverBox"",""color"":""зеленый"",""material"":""пластик"",""size"":""S"",""warranty_months"":12}",2025-12-05T05:08:19+00:00,moderation_v6
48,102,238,Lumen смартфоны современный,"Смартфоны: аккуратное исполнение, стабильная работа и удобное использование каждый день.",1,"{""brand"":""Lumen"",""color"":""зеленый"",""material"":""пластик"",""size"":""L"",""warranty_months"":18}",2025-12-06T21:14:56+00:00,moderation_v1
49,428,108,Neonix обувь практичный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""Neonix"",""color"":""серый"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":18}",2026-01-05T03:30:51+00:00,moderation_v5
50,1108,117,Volna наушники лёгкий,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Volna"",""color"":""серый"",""material"":""металл"",""size"":""L"",""warranty_months"":24}",2026-02-21T00:04:18+00:00,moderation_v1
51,1015,191,Futura одежда современный,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""Futura"",""color"":""синий"",""material"":""керамика"",""size"":""универсальный"",""warranty_months"":24}",2026-01-15T23:39:58+00:00,moderation_v1
52,676,111,Neonix смарт-часы практичный,"Смарт-часы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",8,"{""brand"":""Neonix"",""color"":""зеленый"",""material"":""металл"",""size"":""M"",""warranty_months"":12}",2025-12-09T00:29:42+00:00,moderation_v2
53,521,148,Lira наушники премиальный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Lira"",""color"":""белый"",""material"":""пластик"",""size"":""L"",""warranty_months"":24}",2026-01-04T23:06:39+00:00,moderation_v1
54,461,179,HomeArt рюкзаки компактный,"Рюкзаки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",14,"{""brand"":""HomeArt"",""color"":""белый"",""material"":""керамика"",""size"":""XS"",""warranty_months"":12}",2026-01-20T16:58:01+00:00,moderation_v1
55,901,179,MobiPro инструменты универсальный,"Инструменты: аккуратное исполнение, стабильная работа и удобное использование каждый день.",24,"{""brand"":""MobiPro"",""color"":""бежевый"",""material"":""комбинированный"",""size"":""XL"",""warranty_months"":12}",2026-02-05T07:16:33+00:00,moderation_v4
56,478,146,Foxly одежда эргономичный,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""Foxly"",""color"":""красный"",""material"":""металл"",""size"":""XS"",""warranty_months"":24}",2026-01-06T22:23:15+00:00,moderation_v1
57,802,44,Lira пылесосы надежный,"Пылесосы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",10,"{""brand"":""Lira"",""color"":""серый"",""material"":""текстиль"",""size"":""универсальный"",""warranty_months"":12}",2026-01-03T05:17:52+00:00,moderation_v1
58,516,157,Crafto наушники компактный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Crafto"",""color"":""бежевый"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":24}",2025-12-16T20:00:58+00:00,moderation_v6
59,668,87,Foxly игровые мыши премиальный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""Foxly"",""color"":""черный"",""material"":""металл"",""size"":""XS"",""warranty_months"":6}",2026-01-03T10:04:48+00:00,moderation_v1
60,266,205,NordLine мониторы надежный,"Мониторы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",5,"{""brand"":""NordLine"",""color"":""зеленый"",""material"":""пластик"",""size"":""универсальный"",""warranty_months"":12}",2026-02-10T22:54:51+00:00,moderation_v1
61,548,106,Smarton пылесосы практичный,"Пылесосы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",10,"{""brand"":""Smarton"",""color"":""серый"",""material"":""пластик"",""size"":""M"",""warranty_months"":12}",2026-02-11T17:47:19+00:00,moderation_v1
62,131,79,Brisk клавиатуры лёгкий,"Клавиатуры: аккуратное исполнение, стабильная работа и удобное использование каждый день.",6,"{""brand"":""Brisk"",""color"":""синий"",""material"":""пластик"",""size"":""XL"",""warranty_months"":18}",2026-01-10T00:59:31+00:00,moderation_v1
63,997,205,Orion смартфоны современный,"Смартфоны: аккуратное исполнение, стабильная работа и удобное использование каждый день.",1,"{""brand"":""Orion"",""color"":""черный"",""material"":""керамика"",""size"":""XS"",""warranty_months"":12}",2026-01-25T15:21:36+00:00,moderation_v1
64,480,60,Optima игровые мыши универсальный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""Optima"",""color"":""белый"",""material"":""керамика"",""size"":""универсальный"",""warranty_months"":12}",2026-01-16T18:09:31+00:00,moderation_v1
65,33,240,UrbanFit спорттовары премиальный,"Спорттовары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",20,"{""brand"":""UrbanFit"",""color"":""красный"",""material"":""металл"",""size"":""XL"",""warranty_months"":24}",2026-02-06T05:03:54+00:00,moderation_v1
66,964,161,Neonix рюкзаки современный,"Рюкзаки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",14,"{""brand"":""Neonix"",""color"":""красный"",""material"":""керамика"",""size"":""XS"",""warranty_months"":6}",2025-12-25T10:23:47+00:00,moderation_v3
67,294,105,MobiPro наушники эргономичный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""MobiPro"",""color"":""синий"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":12}",2026-02-07T06:24:24+00:00,moderation_v1
68,577,256,Aster пылесосы эргономичный,"Пылесосы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",10,"{""brand"":""Aster"",""color"":""синий"",""material"":""керамика"",""size"":""L"",""warranty_months"":12}",2026-02-04T07:06:02+00:00,moderation_v6
69,896,200,Volna наушники универсальный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""Volna"",""color"":""бежевый"",""material"":""металл"",""size"":""L"",""warranty_months"":12}",2026-02-04T15:43:45+00:00,moderation_v1
70,1027,64,AquaLeaf наушники лёгкий,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""AquaLeaf"",""color"":""черный"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":24}",2026-02-27T14:42:04+00:00,moderation_v1
71,1098,118,AquaLeaf ноутбуки компактный,"Ноутбуки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",2,"{""brand"":""AquaLeaf"",""color"":""красный"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":18}",2026-02-16T01:35:14+00:00,moderation_v1
72,764,195,AquaLeaf косметика универсальный,"Косметика: аккуратное исполнение, стабильная работа и удобное использование каждый день.",17,"{""brand"":""AquaLeaf"",""color"":""зеленый"",""material"":""текстиль"",""size"":""M"",""warranty_months"":6}",2026-01-28T01:01:01+00:00,moderation_v5
73,1145,64,MobiPro одежда эргономичный,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""MobiPro"",""color"":""красный"",""material"":""текстиль"",""size"":""XS"",""warranty_months"":18}",2025-12-27T20:09:42+00:00,moderation_v1
74,983,250,PrimeTech товары для дома компактный,"Товары для дома: аккуратное исполнение, стабильная работа и удобное использование каждый день.",15,"{""brand"":""PrimeTech"",""color"":""красный"",""material"":""металл"",""size"":""M"",""warranty_months"":12}",2025-12-17T23:32:51+00:00,moderation_v5
75,668,87,UrbanFit игровые мыши надежный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""UrbanFit"",""color"":""белый"",""material"":""пластик"",""size"":""XS"",""warranty_months"":18}",2025-12-14T20:02:05+00:00,moderation_v1
76,963,250,AquaLeaf одежда лёгкий,"Одежда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",12,"{""brand"":""AquaLeaf"",""color"":""зеленый"",""material"":""текстиль"",""size"":""XS"",""warranty_months"":12}",2025-12-18T16:16:14+00:00,moderation_v1
77,868,222,Futura обувь практичный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""Futura"",""color"":""синий"",""material"":""комбинированный"",""size"":""XL"",""warranty_months"":6}",2025-12-08T03:20:56+00:00,moderation_v1
78,713,224,CleverBee обувь премиальный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""CleverBee"",""color"":""бежевый"",""material"":""металл"",""size"":""XS"",""warranty_months"":18}",2026-02-14T19:19:51+00:00,moderation_v1
79,935,243,Vertex кухонная техника универсальный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""Vertex"",""color"":""синий"",""material"":""комбинированный"",""size"":""универсальный"",""warranty_months"":12}",2026-02-27T14:14:16+00:00,moderation_v1
80,702,91,PixelWay наушники универсальный,"Наушники: аккуратное исполнение, стабильная работа и удобное использование каждый день.",3,"{""brand"":""PixelWay"",""color"":""черный"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":6}",2026-02-21T16:21:55+00:00,moderation_v1
81,529,74,TrueSound клавиатуры лёгкий,"Клавиатуры: аккуратное исполнение, стабильная работа и удобное использование каждый день.",6,"{""brand"":""TrueSound"",""color"":""бежевый"",""material"":""металл"",""size"":""универсальный"",""warranty_months"":6}",2025-12-21T23:57:31+00:00,moderation_v1
82,689,7,MobiPro игровые мыши практичный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""MobiPro"",""color"":""красный"",""material"":""текстиль"",""size"":""S"",""warranty_months"":6}",2026-01-02T07:25:45+00:00,moderation_v1
83,125,221,Rivex обувь практичный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""Rivex"",""color"":""серый"",""material"":""пластик"",""size"":""S"",""warranty_months"":18}",2026-02-08T12:17:35+00:00,moderation_v1
84,847,213,AquaLeaf пылесосы компактный,"Пылесосы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",10,"{""brand"":""AquaLeaf"",""color"":""бежевый"",""material"":""пластик"",""size"":""универсальный"",""warranty_months"":24}",2026-01-18T02:25:11+00:00,moderation_v2
85,381,144,TrueSound игровые мыши надежный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""TrueSound"",""color"":""красный"",""material"":""текстиль"",""size"":""S"",""warranty_months"":24}",2025-12-27T18:58:37+00:00,moderation_v6
86,215,122,NordLine детские товары эргономичный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""NordLine"",""color"":""синий"",""material"":""комбинированный"",""size"":""XL"",""warranty_months"":12}",2026-02-27T04:20:24+00:00,moderation_v1
87,78,147,Aster садовая техника практичный,"Садовая техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",23,"{""brand"":""Aster"",""color"":""красный"",""material"":""текстиль"",""size"":""XS"",""warranty_months"":12}",2026-01-27T14:17:12+00:00,moderation_v1
88,114,165,Orion игровые мыши современный,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""Orion"",""color"":""красный"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":12}",2026-01-21T13:09:50+00:00,moderation_v1
89,975,254,HomeArt детские товары лёгкий,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""HomeArt"",""color"":""черный"",""material"":""комбинированный"",""size"":""универсальный"",""warranty_months"":18}",2026-02-04T19:46:41+00:00,moderation_v3
90,529,74,Smarton клавиатуры премиальный,"Клавиатуры: аккуратное исполнение, стабильная работа и удобное использование каждый день.",6,"{""brand"":""Smarton"",""color"":""серый"",""material"":""керамика"",""size"":""M"",""warranty_months"":6}",2026-01-07T15:55:51+00:00,moderation_v1
91,243,120,HomeArt косметика эргономичный,"Косметика: аккуратное исполнение, стабильная работа и удобное использование каждый день.",17,"{""brand"":""HomeArt"",""color"":""белый"",""material"":""комбинированный"",""size"":""XS"",""warranty_months"":18}",2026-01-08T22:23:21+00:00,moderation_v1
92,1115,142,CleverBee детские товары эргономичный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""CleverBee"",""color"":""синий"",""material"":""комбинированный"",""size"":""L"",""warranty_months"":12}",2026-01-18T19:33:50+00:00,moderation_v1
93,181,228,Foxly детские товары практичный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""Foxly"",""color"":""синий"",""material"":""металл"",""size"":""S"",""warranty_months"":6}",2026-02-07T19:54:23+00:00,moderation_v1
94,541,90,Terra спорттовары премиальный,"Спорттовары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",20,"{""brand"":""Terra"",""color"":""черный"",""material"":""пластик"",""size"":""M"",""warranty_months"":12}",2025-12-24T07:38:04+00:00,moderation_v1
95,1006,205,Terra мониторы компактный,"Мониторы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",5,"{""brand"":""Terra"",""color"":""серый"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":6}",2025-12-27T16:03:51+00:00,moderation_v1
96,328,209,MobiPro кофеварки компактный,"Кофеварки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",11,"{""brand"":""MobiPro"",""color"":""серый"",""material"":""керамика"",""size"":""XL"",""warranty_months"":18}",2025-12-03T18:01:39+00:00,moderation_v1
97,797,178,Terra кухонная техника лёгкий,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""Terra"",""color"":""белый"",""material"":""пластик"",""size"":""S"",""warranty_months"":6}",2025-12-29T16:38:50+00:00,moderation_v5
98,975,254,Crafto детские товары компактный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""Crafto"",""color"":""черный"",""material"":""металл"",""size"":""XS"",""warranty_months"":18}",2026-01-31T16:44:55+00:00,moderation_v5
99,1150,149,Neonix спорттовары эргономичный,"Спорттовары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",20,"{""brand"":""Neonix"",""color"":""зеленый"",""material"":""пластик"",""size"":""универсальный"",""warranty_months"":24}",2026-02-02T00:20:44+00:00,moderation_v1
100,355,202,UrbanFit спорттовары лёгкий,"Спорттовары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",20,"{""brand"":""UrbanFit"",""color"":""зеленый"",""material"":""комбинированный"",""size"":""L"",""warranty_months"":18}",2026-02-23T06:02:03+00:00,moderation_v6
101,554,94,Smarton смартфоны универсальный,"Смартфоны: аккуратное исполнение, стабильная работа и удобное использование каждый день.",1,"{""brand"":""Smarton"",""color"":""синий"",""material"":""пластик"",""size"":""XL"",""warranty_months"":12}",2026-03-01T02:23:59+00:00,moderation_v1
102,621,195,Terra игровые мыши лёгкий,"Игровые мыши: аккуратное исполнение, стабильная работа и удобное использование каждый день.",7,"{""brand"":""Terra"",""color"":""серый"",""material"":""текстиль"",""size"":""L"",""warranty_months"":18}",2025-12-19T01:31:18+00:00,moderation_v1
